ID,SMILES,CAS
D0202,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,24815-24-5 
D0203,Cc1cccc(CN2CCN([C@@H](c3ccccc3)c3ccc(Cl)cc3)CC2)c1,569-65-3 
D0204,CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C,7492-32-2
D0205,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,58-39-9
D0206,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,131-01-1 
D0207,CN(C)CC[C@@H](c1ccc(Br)cc1)c1ccccn1,132-21-8 
D0208,CCN1C(=O)N[C@H](c2ccccc2)C1=O,86-35-1
D0209,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,68-22-4
D0210,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,51-98-9
D0211,COc1ccc(C2C(=O)c3ccccc3C2=O)cc1,117-37-3 
D0212,CC(C)(C)c1ccc(CN2CCN([C@@H](c3ccccc3)c3ccc(Cl)cc3)CC2)cc1,82-95-1
D0213,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,72-33-3
D0214,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,68-23-5
D0215,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C,469-62-5 
D0216,COc1ccccc1OC[C@@H](O)COC(N)=O,532-03-6 
D0217,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,452-35-7 
D0218,O=C([O-])c1cccnc1,59-67-6
D0219,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1,486-12-4 
D0220,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,146-54-3 
D0221,NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O,58-94-6
